month,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
1,0.32,0.32,0.32,0.32,0.32,0.38,0.55,0.70,0.82,0.82,0.82,0.82,0.70,0.70,0.70,0.82,0.95,1.15,1.15,1.15,0.95,0.82,0.55,0.38
2,0.32,0.32,0.32,0.32,0.32,0.38,0.55,0.70,0.82,0.82,0.82,0.82,0.70,0.70,0.70,0.82,0.95,1.15,1.15,1.15,0.95,0.82,0.55,0.38
3,0.34,0.34,0.34,0.34,0.34,0.40,0.58,0.74,0.86,0.86,0.86,0.86,0.74,0.74,0.74,0.86,1.00,1.22,1.22,1.22,1.00,0.86,0.58,0.40
4,0.34,0.34,0.34,0.34,0.34,0.40,0.58,0.74,0.86,0.86,0.86,0.86,0.74,0.74,0.74,0.86,1.00,1.22,1.22,1.22,1.00,0.86,0.58,0.40
5,0.36,0.36,0.36,0.36,0.36,0.42,0.62,0.78,0.90,0.90,0.90,0.90,0.78,0.78,0.78,0.90,1.05,1.28,1.28,1.28,1.05,0.90,0.62,0.42
6,0.38,0.38,0.38,0.38,0.38,0.45,0.66,0.82,0.95,0.95,0.95,0.95,0.82,0.82,0.82,0.95,1.10,1.35,1.35,1.35,1.10,0.95,0.66,0.45
7,0.40,0.40,0.40,0.40,0.40,0.48,0.70,0.86,1.00,1.00,1.00,1.00,0.86,0.86,0.86,1.00,1.18,1.42,1.42,1.42,1.18,1.00,0.70,0.48
8,0.40,0.40,0.40,0.40,0.40,0.48,0.70,0.86,1.00,1.00,1.00,1.00,0.86,0.86,0.86,1.00,1.18,1.42,1.42,1.42,1.18,1.00,0.70,0.48
9,0.38,0.38,0.38,0.38,0.38,0.45,0.66,0.82,0.95,0.95,0.95,0.95,0.82,0.82,0.82,0.95,1.10,1.35,1.35,1.35,1.10,0.95,0.66,0.45
10,0.36,0.36,0.36,0.36,0.36,0.42,0.62,0.78,0.90,0.90,0.90,0.90,0.78,0.78,0.78,0.90,1.05,1.28,1.28,1.28,1.05,0.90,0.62,0.42
11,0.34,0.34,0.34,0.34,0.34,0.40,0.58,0.74,0.86,0.86,0.86,0.86,0.74,0.74,0.74,0.86,1.00,1.22,1.22,1.22,1.00,0.86,0.58,0.40
12,0.32,0.32,0.32,0.32,0.32,0.38,0.55,0.70,0.82,0.82,0.82,0.82,0.70,0.70,0.70,0.82,0.95,1.15,1.15,1.15,0.95,0.82,0.55,0.38
