time,load_kwh
2025-01-01 00:00:00,820
2025-01-01 01:00:00,790
2025-01-01 02:00:00,760
2025-01-01 03:00:00,740
2025-01-01 04:00:00,730
2025-01-01 05:00:00,750
2025-01-01 06:00:00,820
2025-01-01 07:00:00,910
2025-01-01 08:00:00,1020
2025-01-01 09:00:00,1100
2025-01-01 10:00:00,1160
2025-01-01 11:00:00,1180
2025-01-01 12:00:00,1140
2025-01-01 13:00:00,1090
2025-01-01 14:00:00,1110
2025-01-01 15:00:00,1170
2025-01-01 16:00:00,1230
2025-01-01 17:00:00,1290
2025-01-01 18:00:00,1360
2025-01-01 19:00:00,1410
2025-01-01 20:00:00,1380
2025-01-01 21:00:00,1260
2025-01-01 22:00:00,1090
2025-01-01 23:00:00,940
2025-01-02 00:00:00,800
2025-01-02 01:00:00,780
2025-01-02 02:00:00,750
2025-01-02 03:00:00,720
2025-01-02 04:00:00,710
2025-01-02 05:00:00,735
2025-01-02 06:00:00,805
2025-01-02 07:00:00,890
2025-01-02 08:00:00,1010
2025-01-02 09:00:00,1080
2025-01-02 10:00:00,1140
2025-01-02 11:00:00,1160
2025-01-02 12:00:00,1125
2025-01-02 13:00:00,1075
2025-01-02 14:00:00,1105
2025-01-02 15:00:00,1165
2025-01-02 16:00:00,1225
2025-01-02 17:00:00,1285
2025-01-02 18:00:00,1355
2025-01-02 19:00:00,1405
2025-01-02 20:00:00,1375
2025-01-02 21:00:00,1250
2025-01-02 22:00:00,1085
2025-01-02 23:00:00,930
2025-01-03 00:00:00,810
2025-01-03 01:00:00,785
2025-01-03 02:00:00,755
2025-01-03 03:00:00,725
2025-01-03 04:00:00,715
2025-01-03 05:00:00,740
2025-01-03 06:00:00,815
2025-01-03 07:00:00,900
2025-01-03 08:00:00,1005
2025-01-03 09:00:00,1095
2025-01-03 10:00:00,1155
2025-01-03 11:00:00,1175
2025-01-03 12:00:00,1135
2025-01-03 13:00:00,1080
2025-01-03 14:00:00,1115
2025-01-03 15:00:00,1175
2025-01-03 16:00:00,1235
2025-01-03 17:00:00,1300
2025-01-03 18:00:00,1375
2025-01-03 19:00:00,1425
2025-01-03 20:00:00,1390
2025-01-03 21:00:00,1270
2025-01-03 22:00:00,1100
2025-01-03 23:00:00,950
2025-01-04 00:00:00,780
2025-01-04 01:00:00,760
2025-01-04 02:00:00,735
2025-01-04 03:00:00,705
2025-01-04 04:00:00,700
2025-01-04 05:00:00,725
2025-01-04 06:00:00,790
2025-01-04 07:00:00,860
2025-01-04 08:00:00,960
2025-01-04 09:00:00,1030
2025-01-04 10:00:00,1080
2025-01-04 11:00:00,1100
2025-01-04 12:00:00,1085
2025-01-04 13:00:00,1040
2025-01-04 14:00:00,1060
2025-01-04 15:00:00,1110
2025-01-04 16:00:00,1175
2025-01-04 17:00:00,1230
2025-01-04 18:00:00,1290
2025-01-04 19:00:00,1330
2025-01-04 20:00:00,1300
2025-01-04 21:00:00,1190
2025-01-04 22:00:00,1040
2025-01-04 23:00:00,900
2025-01-05 00:00:00,775
2025-01-05 01:00:00,755
2025-01-05 02:00:00,730
2025-01-05 03:00:00,700
2025-01-05 04:00:00,695
2025-01-05 05:00:00,720
2025-01-05 06:00:00,785
2025-01-05 07:00:00,850
2025-01-05 08:00:00,950
2025-01-05 09:00:00,1020
2025-01-05 10:00:00,1070
2025-01-05 11:00:00,1090
2025-01-05 12:00:00,1075
2025-01-05 13:00:00,1035
2025-01-05 14:00:00,1055
2025-01-05 15:00:00,1105
2025-01-05 16:00:00,1160
2025-01-05 17:00:00,1215
2025-01-05 18:00:00,1280
2025-01-05 19:00:00,1320
2025-01-05 20:00:00,1295
2025-01-05 21:00:00,1185
2025-01-05 22:00:00,1035
2025-01-05 23:00:00,895
2025-01-06 00:00:00,815
2025-01-06 01:00:00,790
2025-01-06 02:00:00,760
2025-01-06 03:00:00,735
2025-01-06 04:00:00,725
2025-01-06 05:00:00,750
2025-01-06 06:00:00,825
2025-01-06 07:00:00,910
2025-01-06 08:00:00,1015
2025-01-06 09:00:00,1105
2025-01-06 10:00:00,1165
2025-01-06 11:00:00,1185
2025-01-06 12:00:00,1145
2025-01-06 13:00:00,1095
2025-01-06 14:00:00,1120
2025-01-06 15:00:00,1180
2025-01-06 16:00:00,1245
2025-01-06 17:00:00,1305
2025-01-06 18:00:00,1370
2025-01-06 19:00:00,1420
2025-01-06 20:00:00,1395
2025-01-06 21:00:00,1275
2025-01-06 22:00:00,1110
2025-01-06 23:00:00,955
2025-01-07 00:00:00,820
2025-01-07 01:00:00,795
2025-01-07 02:00:00,765
2025-01-07 03:00:00,740
2025-01-07 04:00:00,730
2025-01-07 05:00:00,755
2025-01-07 06:00:00,830
2025-01-07 07:00:00,915
2025-01-07 08:00:00,1025
2025-01-07 09:00:00,1110
2025-01-07 10:00:00,1170
2025-01-07 11:00:00,1190
2025-01-07 12:00:00,1150
2025-01-07 13:00:00,1100
2025-01-07 14:00:00,1125
2025-01-07 15:00:00,1185
2025-01-07 16:00:00,1250
2025-01-07 17:00:00,1310
2025-01-07 18:00:00,1380
2025-01-07 19:00:00,1430
2025-01-07 20:00:00,1400
2025-01-07 21:00:00,1280
2025-01-07 22:00:00,1115
2025-01-07 23:00:00,960
